targa,tratta,volte
145320,1-2-,1
981293,10-,1
5028811,17-,1
14222308,24-,1
275441,8-3-,1
14222309,15-,1
3380207,16-,1
8328404,8-,1
13705544,7-,1
14222312,22-,1
559816,13-,1
14222314,22-,1
11158592,22-,1
3841420,15-,1
1308659,8-,1
6500367,10-,1
66,3-1-2-16-,1
2829383,24-,1
14222317,23-,1
70,8-,1
145375,27-,1
79,2-15-,1
708392,15-,1
14222319,4-,1
14222320,27-,1
401687,15-,1
1645341,4-,1
14222326,7-,1
1146015,15-,1
14222327,7-,1
2500773,27-,1
119,18-,1
401708,20-,1
11789854,6-,1
14222330,2-,1
9267938,15-,1
138,5-,1
5762873,27-,1
14222331,24-16-,1
14222332,22-,1
14222333,23-,1
14222339,2-,1
14222341,18-,1
14222343,2-,1
14222345,12-,1
275637,2-,1
1525205,24-,1
792183,23-,1
878353,22-,1
14222348,8-,1
14222351,2-,1
3096282,15-,1
12701369,16-,1
217,15-,1
14222360,23-,1
2189746,3-,1
8820276,16-,1
14222364,18-,1
2871732,10-,1
708537,18-,1
1701888,10-,1
145508,11-,1
243,14-,1
247,16-4-,1
14222375,23-,1
10555528,5-,1
257,10-3-4-10-18-2-16-4-4-,1
878407,10-,1
267,1-16-5-3-2-4-22-20-4-,1
2364610,27-,1
14222376,15-,1
145541,8-,1
640667,13-,1
7637533,4-,1
8162790,18-,1
283,2-,1
1232178,15-,1
14222378,18-,1
5529956,23-,1
1746193,14-,1
4209331,20-,1
2584037,10-,1
14222382,10-,1
14222383,10-,1
14222385,18-23-8-,1
304,4-,1
306,2-5-3-,1
324,20-2-16-,1
4209349,14-,1
3380363,10-,1
332,14-7-,1
336,10-10-,1
338,12-4-,1
145616,23-5-,1
13434202,11-,1
369,12-,1
3380379,27-,1
145638,5-,1
14222400,5-,1
14222402,3-,1
14222405,5-,1
145657,15-,1
13672261,18-,1
14222409,14-,1
401906,5-,1
5886390,24-,1
14222410,16-,1
14222411,2-,1
410,4-18-,1
412,18-,1
3841623,4-,1
14222414,18-,1
560036,12-,1
14222419,24-,1
1865014,2-,1
14222420,4-,1
640750,7-,1
1146310,10-,1
14222428,8-,1
401992,18-,1
401996,24-,1
7575358,8-,1
476,19-,1
1645605,5-,1
14222430,10-,1
14222431,24-,1
481,15-23-,1
2871808,2-,1
14222432,1-,1
14222433,18-,1
5961798,8-,1
500,14-20-2-20-2-5-3-15-22-,1
402045,7-,1
640796,8-,1
145770,18-,1
1525402,15-,1
12091088,18-,1
402061,27-,1
640809,27-,1
14222439,15-,1
1308900,20-,1
560128,15-,1
1914019,2-,1
6072188,4-,1
402100,8-,1
1810632,18-5-,1
402106,5-,1
14222447,24-,1
13936876,22-,1
4209475,2-,1
14222449,16-,1
14222453,20-,1
1645682,5-,1
5355564,12-,1
14222457,2-,1
11416254,16-,1
14222458,10-,1
9821996,4-,1
14222476,15-,1
14222477,14-,1
10423594,20-,1
14222483,5-,1
14222485,1-,1
14222486,14-,1
1810708,15-,1
14222488,5-,1
14222489,4-,1
14222498,5-,1
1645775,10-,1
14222504,23-,1
5253803,8-,1
14222508,27-,1
640958,10-,1
14222517,19-,1
14222519,22-,1
14222522,23-,1
14222526,22-,1
14222528,20-,1
14222529,8-,1
14222539,12-,1
14222540,4-,1
14222542,3-,1
6500678,23-,1
14222549,8-,1
6852710,16-,1
11366373,16-,1
5681625,8-,1
5142032,5-,1
14222565,23-,1
14222567,15-,1
14222568,14-,1
14222572,4-,1
14222580,1-,1
14222582,18-,1
14222592,16-,1
641035,10-,1
981870,5-,1
14222598,8-,1
1146694,5-,1
14222601,1-,1
14222603,4-,1
14222607,16-,1
2415158,17-,1
5476970,20-,1
14222610,5-,1
13672461,1-,1
4134422,3-,1
14222631,16-,1
7426460,1-,1
981911,12-,1
2906891,2-,1
641092,15-,1
14222637,15-,1
1746719,19-16-,1
10180368,12-,1
1525731,10-,1
6663046,15-,1
14222656,23-,1
1525744,15-,1
14222665,1-,1
14222666,2-,1
981963,20-,1
14222675,24-,1
14222676,15-,1
10042822,12-,1
1465806,10-,1
14222681,2-,1
14222683,12-,1
9122050,5-,1
14222686,20-,1
14222687,13-,1
14222692,12-,1
276634,3-,1
276636,4-18-10-,1
276639,4-,1
14222694,1-,1
14222701,18-,1
3602968,2-,1
402553,20-,1
4209814,11-,1
793018,15-,1
879180,5-,1
4573702,8-,1
14222705,1-,1
641217,1-,1
14222711,16-,1
14222712,20-,1
14222714,6-,1
1979301,15-,1
14222723,16-,1
982106,20-,1
8872807,2-,1
1078,16-,1
14222730,8-,1
1147018,2-,1
14222736,7-,1
4696050,27-,1
10945318,6-,1
2265403,15-,1
14222749,16-,1
1123,4-,1
5763605,4-,1
14222757,8-,1
9050994,23-,1
14222765,23-,1
14222767,6-,1
14222775,1-,1
14222778,8-,1
12918255,27-,1
1173,15-,1
1178,8-1-,1
13104907,16-,1
14222796,4-,1
1526001,10-,1
1466017,3-,1
10884464,3-,1
13868018,24-,1
276924,10-,1
14222803,12-,1
14222804,10-,1
709582,4-,1
641354,4-,1
14222809,8-,1
10271150,3-,1
14222812,3-,1
276952,20-,1
14222814,8-,1
5924123,6-,1
14222817,11-,1
14222818,18-,1
8096923,4-,1
14222821,15-,1
14222823,1-,1
2365247,18-,1
879452,16-,1
14222824,13-,1
14222827,7-,1
13404605,16-,1
14222834,10-,1
14222836,7-,1
14222842,22-,1
2633406,12-20-2-16-,1
14222845,23-,1
14222846,2-,1
8736337,4-,1
14222849,12-,1
14222850,5-,1
14222856,20-,1
14222860,22-,1
7196398,22-,1
2501693,10-23-,1
14222862,5-,1
5763804,1-,1
14222863,22-,1
14222864,22-,1
14222867,23-,1
5924221,3-,1
14222869,18-,1
14222873,16-,1
6762466,10-,1
14222875,22-,1
11023260,5-,1
3994047,10-,1
14222876,13-,1
14222877,16-,1
14222880,4-,1
5887042,14-,1
6882797,8-,1
2265683,2-,1
1466196,4-,1
709780,1-,1
8964539,20-,1
14222903,7-,1
14222904,4-,1
14222905,8-,1
641566,7-,1
146711,20-5-,1
2501751,8-,1
14222912,2-,1
14222914,12-,1
2229734,20-,1
14222918,13-,1
14222919,2-,1
1811434,14-,1
2872411,10-,1
14222920,8-,1
982415,14-,1
14222922,15-,1
14222926,12-,1
7969289,19-,1
14222928,15-,1
14222929,2-,1
4134945,27-23-,1
793510,16-,1
14222945,3-,1
13868165,13-,1
14222953,10-,1
14222954,15-,1
10007815,14-,1
1979606,11-,1
14222958,15-,1
14222959,12-,1
1532,4-,1
9051210,4-,1
146793,18-5-8-3-,1
14222965,23-,1
4363827,18-,1
2365509,2-,1
6882903,1-,1
146801,4-,1
14222968,2-,1
1979629,16-,1
14222969,27-,1
982489,8-,1
14222976,3-,1
14222977,8-,1
14222978,27-,1
561162,11-19-,1
6694502,10-15-,1
14222979,1-,1
14222980,20-,1
5924353,7-,1
14222986,22-,1
7396891,11-,1
14222997,3-13-,1
14222998,2-,1
14222999,11-19-,1
14223001,15-,1
14223002,6-,1
2501930,6-,1
14223004,4-,1
3501124,12-,1
1979673,8-,1
14223007,10-,1
493473,23-,1
146903,2-,1
14223010,2-,1
793660,2-,1
4957387,23-,1
3603376,10-,1
1147591,5-,1
9457416,2-,1
5682453,15-,1
14223014,4-,1
3746265,20-,1
14223015,7-,1
14223018,8-,1
12725697,2-,1
14223023,16-,1
14223024,4-,1
14223026,16-,1
2190568,12-,1
1049691,13-,1
3381564,16-,1
1692,20-,1
5682485,15-5-,1
14223030,7-,1
1466409,18-,1
14223031,6-,1
5254385,23-,1
2028110,10-15-,1
2714463,16-,1
879953,18-5-,1
2365637,5-,1
11023483,16-,1
982621,16-,1
10740110,23-,1
14223034,18-,1
6911698,16-,1
14223036,2-,1
6663556,20-,1
10740112,2-,1
14223041,10-,1
1703,4-,1
561289,1-12-,1
561290,11-,1
146990,2-,1
641781,20-,1
1147671,12-,1
13637996,23-,1
14110188,23-,1
14223050,18-5-,1
14223052,8-,1
1723,2-16-,1
5537161,19-,1
403268,4-,1
561308,16-,1
1747573,13-,1
880022,5-8-,1
1466471,5-,1
14223073,2-,1
14223077,22-,1
793795,10-23-15-,1
14223081,12-,1
14223087,6-,1
11666123,12-,1
641828,10-,1
9415185,2-,1
14223098,16-,1
14223100,3-,1
14223103,3-,1
14223105,23-,1
403346,18-,1
403347,20-,1
14223108,20-,1
14223109,20-,1
403363,2-,1
10242285,10-,1
982744,5-,1
14223118,18-,1
14223122,16-,1
14223123,4-,1
14223124,22-,1
403390,23-,1
9204308,14-,1
14223134,2-,1
7576381,16-,1
982812,18-,1
14223138,5-,1
641930,4-,1
982819,3-,1
4970153,15-,1
14223139,6-,1
7369440,2-,1
7279772,15-,1
14223143,7-,1
710283,27-,1
14223149,20-,1
14223159,20-,1
14223160,16-,1
12576785,16-,1
14223161,6-,1
561488,19-,1
14223172,5-,1
13673098,6-,1
14223178,16-,1
14223190,1-,1
14223192,5-,1
14223194,4-,1
14223200,19-,1
14223207,20-,1
14181125,18-,1
14223217,10-,1
14223220,8-,1
982960,2-,1
2029,16-,1
14223230,5-,1
12183896,15-,1
14223238,22-,1
7576553,18-,1
403633,3-,1
7279869,8-,1
14223243,20-,1
278077,4-,1
14223245,12-,1
14223249,16-,1
14223250,23-,1
5302409,2-,1
14223268,12-,1
14223272,10-,1
14223275,20-,1
14223276,4-,1
14223280,15-,1
2266288,18-,1
5537428,1-,1
14223295,22-,1
14223296,7-,1
14223297,2-,1
14223301,22-,1
14223303,20-,1
14223308,1-,1
14223310,2-,1
10043609,14-,1
14223315,15-,1
11132339,22-,1
14223316,13-,1
8873544,6-,1
14223324,4-,1
14223326,15-,1
14223327,15-,1
14223328,10-,1
11394564,14-,1
14223331,18-,1
710569,22-,1
14223336,12-,1
5682993,1-,1
14223343,20-,1
880569,10-,1
1232945,12-,1
2907910,10-,1
10627599,16-,1
5764613,5-,1
147540,5-,1
14223353,13-,1
403789,16-,1
14223359,18-,1
14223361,19-,1
11468381,15-,1
880615,18-,1
14223365,22-,1
3170073,4-,1
710666,8-,1
14223380,27-,1
14223382,23-,1
2298,20-2-,1
14223383,8-,1
4879438,20-,1
2416387,22-12-,1
561830,12-,1
4135718,1-,1
710686,22-,1
14223390,10-,1
147610,4-,1
278383,11-,1
8330060,20-,1
1382652,20-,1
10223826,4-,1
10181183,27-,1
14223399,1-,1
14223404,20-,1
561866,22-4-,1
14223406,12-,1
710726,16-,1
14223408,24-15-,1
6073468,8-,1
6763164,16-,1
561879,8-,1
147680,12-5-,1
2103722,27-,1
2392,16-27-,1
14223421,6-,1
14223422,1-,1
10946341,5-,1
1748270,1-,1
13263383,20-,1
4135832,7-,1
14223432,23-,1
14223434,4-,1
14223446,10-19-20-4-,1
278549,12-16-,1
14223447,2-,1
14223448,13-,1
12754144,8-,1
2794074,1-,1
3097840,3-,1
147767,27-,1
14223458,19-,1
14223461,2-,1
14223464,15-,1
2148396,4-,1
14223469,23-,1
14223473,15-,1
642550,1-,1
6634064,12-,1
2831026,1-,1
9945407,18-,1
14223478,17-,1
1382754,2-,1
147879,5-,1
14223480,8-,1
14223482,18-,1
14223484,22-,1
7369776,12-,1
13638450,22-12-,1
14223486,19-,1
147904,15-,1
13067662,2-,1
14223492,1-,1
4135947,22-,1
2554,16-,1
14223495,23-,1
14223497,10-,1
2502648,2-,1
14223498,4-,1
14040399,1-,1
3012463,8-,1
5415637,4-,1
2103781,12-,1
13263430,20-,1
14223507,2-,1
14223508,4-,1
14223509,10-23-,1
12916519,23-,1
14223511,23-,1
14223513,18-,1
3379777,3-1-,1
2416531,22-,1
14223521,18-,1
14223522,18-,1
14203926,23-,1
3135251,11-,1
14223523,14-,1
14223524,16-,1
2873134,14-,1
14223534,14-,1
13525954,18-,1
6144430,15-,1
14223546,12-,1
1310274,3-,1
14223550,10-,1
14223551,14-,1
14223557,22-,1
14223559,5-,1
14223560,3-,1
2148490,19-,1
14223564,18-,1
1310279,8-,1
14223575,23-,1
14223576,23-,1
14223577,5-,1
14223578,20-,1
14223579,12-,1
11160076,23-,1
3012544,20-,1
404246,16-,1
1582192,23-,1
794724,5-,1
1310308,14-,1
1233150,24-,1
8269692,20-,1
4636322,10-,1
2794191,23-,1
2634506,5-,1
493715,18-15-,1
404265,27-10-,1
13868799,2-,1
14223591,10-,1
2772,3-,1
14223595,15-,1
13526042,8-,1
13526044,10-,1
2416600,23-,1
14223599,27-,1
14223600,4-,1
3012581,20-,1
711099,20-,1
14223611,5-,1
14223617,3-,1
14223627,18-,1
14223628,4-,1
7577170,20-,1
1148855,16-,1
11132641,16-4-,1
1148862,2-,1
14223637,2-,1
14223638,22-,1
279028,16-,1
9687320,18-,1
14223652,12-,1
14223655,24-,1
9340134,5-,1
2906,11-,1
14223657,1-,1
14223660,10-,1
14223668,2-,1
14223674,23-,1
14223676,15-,1
14223680,4-,1
14223688,3-,1
14223691,16-,1
14223692,8-,1
14223697,14-,1
10740570,17-,1
14223706,10-,1
14223713,23-,1
10689304,5-,1
14223717,5-,1
642925,15-,1
14223729,15-,1
148414,27-,1
14223732,18-,1
279181,4-,1
14223740,24-,1
14223744,12-,1
14223746,23-,1
14223748,23-,1
14223750,11-,1
14223751,4-,1
14223754,2-,1
14223756,17-,1
14223757,1-,1
14223762,16-,1
14223765,1-,1
14223783,8-,1
14223784,10-,1
14223785,5-,1
14223788,18-,1
14223790,15-,1
14223793,8-,1
14223800,5-,1
14223804,10-,1
14223809,18-,1
14223811,23-,1
14223812,15-,1
4136532,12-,1
3382679,18-,1
14223822,5-,1
14223825,11-,1
14223826,23-,1
1467662,15-,1
14223834,15-,1
2366502,20-,1
13017429,19-,1
14223849,10-,1
14223853,15-,1
14223857,8-,1
14223862,22-,1
14223864,22-,1
14223881,20-,1
279415,10-,1
1647935,14-,1
12601313,10-,1
7227713,1-,1
983924,18-,1
14223899,2-,1
5683888,23-,1
5765358,23-,1
148632,18-,1
3202,16-13-20-18-,1
643111,1-,1
3204,5-18-,1
1915801,10-,1
9123647,3-,1
279446,23-,1
3211,18-5-18-16-20-2-27-6-20-4-,1
148643,5-,1
3213,10-20-,1
3214,5-24-,1
3218,6-,1
3221,12-,1
562586,10-,1
14223906,18-,1
14223909,13-,1
6502332,23-,1
14223911,18-,1
795283,1-,1
13435887,14-,1
148684,27-,1
14223916,10-,1
14223919,23-,1
14223922,12-,1
2634907,18-,1
148703,18-,1
3502483,7-,1
643151,23-,1
1527638,23-,1
12232707,2-,1
14223926,12-,1
2873509,20-,1
5996089,5-,1
1980768,19-,1
14223930,8-,1
3307,2-12-19-,1
3311,20-,1
279592,15-,1
8779903,2-,1
404804,2-,1
3316,16-,1
9804084,12-,1
3325,12-,1
3328,10-,1
1648045,15-,1
148743,5-,1
3329,12-18-2-12-11-,1
1749135,16-,1
3337,4-,1
404830,14-,1
148751,12-,1
3345,10-4-20-,1
1648050,18-,1
11441167,15-,1
3346,10-18-,1
3347,5-,1
1703820,15-,1
3351,10-15-,1
3352,4-16-10-19-,1
148755,2-,1
795377,15-,1
3353,18-6-13-10-,1
3354,4-5-24-20-10-5-5-18-,1
148760,16-,1
3358,10-,1
148761,5-1-16-,1
3361,2-10-,1
984024,6-,1
3363,4-16-2-20-16-2-10-5-5-18-,1
3364,10-,1
3365,12-,1
3379,20-16-7-,1
14223941,23-,1
2680728,14-,1
3391,24-18-,1
2029863,23-,1
881766,20-,1
643230,15-,1
1527671,23-,1
984036,8-,1
14223946,27-,1
14223951,23-,1
10877446,12-,1
279696,15-,1
7197564,23-,1
148797,15-,1
279706,12-,1
562676,23-,1
3433,15-,1
148802,5-,1
3436,12-16-,1
3440,20-18-15-,1
148814,20-,1
148818,23-,1
148824,4-,1
6030704,15-,1
279728,1-,1
8582143,20-,1
279729,4-,1
14223962,11-,1
3467,10-,1
881822,5-,1
7353053,22-,1
14223973,20-,1
14223975,7-,1
12352009,18-,1
6763623,10-,1
14223981,1-,1
881874,19-,1
404954,16-,1
3510,24-10-,1
881899,23-,1
14223991,19-,1
14223992,16-,1
2029978,5-,1
14223996,22-,1
14223997,23-,1
6726842,18-,1
14224001,8-,1
14224007,2-,1
14224011,3-,1
14224017,5-,1
14224018,24-,1
10885481,10-,1
6664523,11-,1
711801,10-,1
3917040,22-,1
9389263,4-,1
14224019,27-,1
14224024,20-,1
14224027,16-,1
14224028,4-,1
14224030,12-,1
5996211,10-,1
14224037,1-,1
14224038,14-,1
3615,12-,1
3617,12-,1
279917,1-,1
984204,8-,1
148996,16-,1
7370372,23-,1
14224050,8-,1
3624,24-,1
14224053,12-,1
14224054,20-,1
14224063,1-,1
562844,6-,1
14224072,1-,1
1149635,4-,1
14224080,16-,1
14224088,16-,1
14224092,16-,1
14224095,1-,1
14224097,11-,1
14224098,20-,1
14224103,10-,1
14224111,5-,1
14224119,23-,1
14224121,16-,1
14224123,8-,1
11922779,12-,1
14224132,14-,1
14224136,10-,1
14224141,18-,1
14224142,13-,1
14224147,6-,1
14140987,2-,1
14224151,6-,1
14224152,20-,1
14224154,7-,1
14224159,12-,1
14224161,1-,1
14224162,23-,1
14224163,23-,1
14224168,27-,1
14224171,10-,1
14224173,2-,1
149164,12-,1
562973,4-,1
2831820,23-,1
7498947,16-,1
14224176,19-,1
14224183,20-,1
14224189,14-,1
14224192,13-,1
14224197,10-,1
712049,2-,1
149278,15-,1
14224202,18-,1
405274,5-,1
984397,20-,1
14224224,1-,1
2550736,23-,1
14224231,15-,1
493882,18-,1
14224239,11-,1
14224247,12-,1
882330,13-,1
6181917,3-,1
405316,10-,1
6296498,16-,1
1916204,12-,1
3910,16-,1
3919,20-,1
3921,15-,1
5538605,11-,1
