targa,tratta,volte
2,7-,1
11022354,4-,1
11022356,2-,1
3010445,9-,1
11022360,18-,1
145327,16-,1
5141791,6-,1
26,5-,1
792055,25-,1
11022367,23-,1
2971012,2-,1
11022369,23-,1
11022371,24-,1
878195,13-,1
275476,8-,1
640539,17-,1
11022374,18-,1
1231996,18-,1
11022378,5-,1
11022380,5-,1
70,9-,1
640559,5-20-,1
11022385,5-,1
1465191,3-,1
792099,18-,1
6028075,15-,1
401685,5-,1
11022390,27-,1
11022392,1-,1
275547,9-,1
11022395,10-,1
7395979,1-,1
5253536,26-,1
6268425,4-,1
116,5-,1
401708,10-,1
1913774,3-,1
11022404,24-,1
145422,13-,1
11022405,23-,1
708449,15-,1
2632592,15-10-,1
11022407,23-,1
1465226,26-,1
2679827,3-,1
145437,12-,1
11022411,18-,1
11022413,24-,1
11022414,23-,1
1701842,24-,1
11022415,5-,1
11022416,5-,1
5587724,1-,1
11022419,9-,1
11022423,7-,1
275631,24-,1
11022424,9-,1
6028118,15-,1
708486,14-,1
401761,27-,1
9773932,9-,1
9712224,20-,1
11022433,1-,1
878358,26-,1
275662,4-16-,1
878364,1-,1
6072041,10-,1
5839031,13-,1
11022438,25-,1
2463258,20-,1
2026662,4-,1
11022442,4-,1
11022444,25-,1
2713380,2-,1
11022448,15-,1
145505,13-23-,1
239,25-5-18-,1
240,5-26-20-23-25-23-20-25-2-12-24-9-,1
145508,1-26-9-16-,1
145510,2-12-8-15-18-10-15-18-27-26-,1
247,4-1-14-5-10-25-6-26-15-8-6-16-8-5-15-26-9-5-10-10-26-27-9-10-,1
3500305,26-,1
11022456,12-,1
257,15-9-4-5-12-4-5-20-3-12-27-26-3-8-5-23-20-2-20-5-9-9-9-1-23-5-14-15-24-10-4-16-16-2-16-18-18-2-2-1-16-4-14-18-25-13-16-9-18-19-20-25-7-3-2-25-1-26-1-25-25-13-24-3-16-13-16-13-13-15-3-15-19-2-12-6-8-13-15-5-15-4-23-12-26-10-2-20-5-10-4-26-12-18-8-25-4-15-25-12-20-8-18-5-26-,1
1146136,3-,1
259,5-20-15-4-4-4-25-13-8-,1
708554,16-15-,1
260,5-16-2-12-,1
275729,2-,1
266,10-27-,1
267,25-13-11-4-4-26-20-16-25-20-8-15-4-13-10-8-18-25-27-,1
268,17-,1
275736,2-11-,1
2584027,24-,1
269,8-,1
11022457,5-,1
11022458,10-,1
145549,2-,1
275760,18-,1
145555,18-15-,1
11022467,9-,1
11022468,1-,1
11022471,5-,1
11022472,1-,1
981463,14-,1
6108402,9-,1
559966,10-,1
11022477,10-,1
11022480,14-,1
145576,16-2-25-11-,1
145579,9-,1
322,8-,1
323,4-,1
145581,5-,1
324,17-,1
981474,14-,1
11022484,16-,1
332,10-23-8-,1
145608,11-26-4-26-,1
145609,20-26-25-9-18-,1
275816,26-23-18-10-,1
145612,2-25-,1
2713405,25-,1
145615,8-10-,1
145618,19-,1
345,13-8-15-23-,1
346,4-,1
275817,9-,1
145619,15-,1
145621,4-16-23-24-6-,1
2364634,20-,1
11022493,3-,1
145631,4-26-,1
145632,26-4-23-3-,1
11022496,23-,1
11022497,18-,1
11022498,24-,1
11022499,23-,1
878482,6-,1
145638,1-3-8-26-13-2-9-8-9-26-,1
11022506,25-,1
11022508,18-,1
382,12-18-4-16-4-2-14-5-15-25-18-10-12-3-25-2-26-26-23-,1
11022509,25-,1
145653,2-,1
11022510,24-,1
11022514,9-,1
396,12-,1
708679,23-18-9-,1
9121710,9-,1
2319099,9-,1
640732,18-,1
560027,10-,1
