targa,tratta,volte
275440,25-,1
25,1-,1
8096147,20-,1
8096152,1-,1
8096155,16-,1
493201,14-,1
4133863,4-,1
8096172,16-,1
3133779,19-,1
3380224,24-,1
7701145,5-,1
8096181,10-,1
2500747,1-,1
79,18-7-,1
8096183,1-,1
1913756,16-,1
878255,4-,1
8096193,16-,1
559852,18-,1
3422240,25-,1
4695736,13-,1
4272382,5-,1
5729970,8-,1
5476649,5-,1
1146028,18-,1
8096209,10-,1
1701838,13-,1
2713336,3-,1
5414294,25-,1
1146054,16-,1
8096222,3-5-,1
8096226,23-,1
5028917,23-,1
8096236,13-,1
1232127,17-,1
8096240,23-,1
275659,24-,1
212,8-,1
8096244,23-,1
239,11-,1
240,20-,1
1465293,19-,1
145508,5-20-,1
145510,16-23-,1
247,3-24-19-23-12-4-13-3-,1
3500305,18-,1
145520,23-5-,1
257,25-10-23-24-22-4-1-25-14-14-22-8-22-18-14-14-18-10-19-8-23-16-25-,1
259,16-12-1-3-13-13-,1
145525,18-,1
145532,23-,1
275729,4-,1
267,4-25-23-22-25-19-8-5-4-3-23-4-11-23-4-5-3-16-25-18-17-5-11-19-20-16-11-,1
1465311,8-,1
6179784,5-,1
145549,10-,1
8096300,1-,1
401833,13-18-,1
1465333,18-,1
304,8-,1
8096314,8-,1
145576,16-12-,1
145580,14-,1
324,8-,1
8096321,23-,1
8096331,6-,1
8096333,4-,1
8096335,18-,1
145608,22-,1
145609,4-4-16-19-24-23-,1
145618,14-,1
345,14-13-,1
1381379,19-,1
145632,25-18-7-5-10-,1
145649,1-23-,1
382,7-17-,1
145653,4-,1
395,8-,1
3841637,25-,1
8096379,20-,1
2264932,16-,1
8096384,16-,1
145726,4-,1
640769,8-,1
481,3-,1
5886438,8-,1
500,1-24-,1
402045,18-,1
4770095,24-,1
8096418,10-,1
1232240,4-,1
8096424,8-,1
8096434,4-,1
8096437,10-,1
276103,5-,1
8096438,10-,1
8096440,20-,1
8096441,16-,1
8096445,1-,1
1465518,8-,1
8096447,14-,1
8096450,20-,1
8096453,14-,1
8096466,25-,1
5681507,16-,1
8096476,4-,1
8096479,3-,1
8096498,17-,1
276217,20-,1
8096512,10-,1
878839,17-,1
560302,23-,1
8096539,13-,1
8096549,18-,1
3914960,4-,1
8096581,16-,1
8096589,3-,1
276416,12-,1
8096600,16-,1
8096610,8-,1
8096622,24-,1
1979149,23-,1
8096637,19-,1
1465730,11-,1
8096655,1-,1
8096657,16-,1
8096659,5-,1
8096663,18-,1
8096664,3-,1
641119,16-,1
8096685,12-,1
8096688,18-,1
8096690,17-,1
8096709,16-,1
3915065,6-,1
5253961,5-,1
937,5-,1
8096720,5-,1
8096724,5-,1
8096735,13-,1
8096739,20-,1
8096752,18-,1
8096766,12-,1
793055,20-,1
8096767,1-,1
8096772,23-,1
8096773,5-,1
8096777,23-,1
8096779,4-,1
8096791,18-,1
1702394,10-,1
8096798,20-,1
5190263,14-,1
4696056,18-,1
2319456,6-,1
8096820,5-,1
1123,10-,1
5536702,12-,1
560706,8-,1
6792595,4-,1
8096862,23-,1
8096873,13-,1
1466017,12-,1
8096885,20-,1
8096893,25-,1
8096896,18-,1
8096904,6-,1
1224,13-,1
982210,5-,1
146509,19-,1
7352692,19-,1
2103186,23-,1
8096956,5-,1
2103188,10-,1
560893,10-,1
2633402,13-,1
3169411,3-,1
8096971,8-,1
146557,1-,1
2365296,24-,1
8096977,10-,1
8096978,3-,1
8096987,3-,1
8096993,16-,1
2265611,24-,1
5887004,17-,1
641469,25-,1
8097006,14-,1
8097009,16-,1
8097011,18-,1
8097014,14-,1
1747196,16-,1
1369,25-,1
5083669,24-,1
8097027,13-,1
3915382,18-,1
8097057,3-,1
8097061,4-,1
1747259,14-,1
8097062,5-,1
5637548,1-,1
8097073,16-,1
8097087,17-,1
6029146,24-,1
8097096,5-,1
8097099,13-,1
