targa,tratta,volte
10856966,25-11-,1
3007647,19-11-,1
10856967,11-,1
544232,11-,1
46065,20-19-11-,1
151308,11-,1
3345731,16-11-,1
910613,2-7-11-,1
10856976,11-,1
704160,11-,1
10856979,16-19-11-,1
1642391,16-11-,1
4774805,11-,1
3243859,11-,1
967505,25-2-16-11-,1
1766888,16-11-,1
10856984,11-,1
2484071,1-11-,1
212983,12-11-,1
2363050,11-,1
1079766,11-,1
2499991,20-19-11-,1
2282003,25-11-,1
62731,8-11-,1
1452446,3-8-11-,1
1055931,11-,1
10856993,3-11-,1
10856996,11-,1
1471898,11-,1
307440,19-11-,1
10856997,5-15-19-11-,1
3056030,3-11-,1
10856999,20-19-11-,1
833902,11-,1
673597,11-,1
3341017,2-16-4-11-,1
9039074,2-11-,1
2756732,11-,1
2359224,11-,1
1080314,4-11-,1
1168577,2-19-11-,1
66080,20-4-11-,1
82668,11-,1
10857011,11-,1
835541,16-11-,1
67967,3-16-4-19-11-,1
10021904,16-11-,1
10857013,9-11-,1
982365,16-11-,1
740010,2-19-11-,1
2680066,2-16-11-,1
595664,25-18-26-4-11-,1
4263103,11-,1
97029,2-4-11-,1
10857026,11-,1
1300515,10-19-11-,1
999469,2-11-,1
3293327,11-,1
1800805,11-,1
10857030,11-,1
2380845,3-11-,1
904120,3-8-11-,1
3345245,25-11-,1
267,27-27-27-5-5-25-25-15-15-20-20-20-23-2-2-2-18-18-18-16-10-26-4-9-17-7-14-11-,1
3344556,25-23-18-16-11-,1
3307587,11-,1
5447033,11-,1
1375671,11-,1
7221418,11-,1
197062,11-,1
3156491,11-,1
3250952,25-11-,1
1837318,11-,1
1328517,11-,1
10857051,11-,1
1316561,19-11-,1
2914040,13-11-,1
3860081,11-,1
9000833,20-11-,1
145525,11-,1
3242619,11-,1
28611,19-11-,1
10857063,13-8-11-,1
9645758,11-,1
1895047,14-19-11-,1
607709,2-4-11-,1
3236832,20-11-,1
19343,11-,1
1716086,25-11-,1
2673212,2-11-,1
1307774,19-11-,1
2654899,14-11-,1
10798564,19-11-,1
1055049,16-11-,1
3340113,4-11-,1
2585189,16-4-11-,1
126202,16-11-,1
2284342,11-,1
3320198,11-,1
2685180,3-19-11-,1
668937,13-8-11-,1
2904931,11-,1
2892559,2-11-,1
2894005,16-9-11-,1
3353639,3-11-,1
55914,11-,1
4219854,11-,1
3917936,11-,1
1113668,11-,1
49118,11-,1
10857084,11-,1
10857085,11-,1
1790398,25-11-,1
1069804,25-14-11-,1
6660981,11-,1
501096,11-,1
63884,11-,1
10857091,20-26-11-,1
10857092,11-,1
10857095,11-,1
5799506,19-11-,1
2280712,13-14-11-,1
2385112,5-20-26-11-,1
6747526,11-,1
10857101,4-11-,1
1905180,11-,1
10857104,19-11-,1
300084,20-11-,1
8818703,11-,1
38121,20-19-11-,1
851147,2-11-,1
556623,8-19-11-,1
3499837,3-11-,1
527279,2-19-11-,1
496583,11-,1
786831,19-11-,1
10857109,11-,1
601941,23-26-11-,1
10857110,11-,1
1407741,11-,1
2265901,11-,1
6293336,11-,1
10857113,2-11-,1
10396414,25-19-11-,1
466019,11-,1
844941,3-11-,1
2277836,25-11-,1
214881,11-,1
3209028,11-,1
62347,11-,1
3219315,25-15-11-,1
916400,14-11-,1
3794851,25-20-11-,1
3324514,25-11-,1
5279670,11-,1
10819650,11-,1
840092,19-11-,1
33888,11-,1
1056038,11-,1
10857121,11-,1
10857124,20-4-11-,1
1299371,25-11-,1
1006437,11-,1
3290761,2-11-,1
1367557,3-11-,1
4252372,25-23-18-10-4-11-,1
176728,13-12-11-,1
10857129,11-,1
3906409,19-11-,1
4765073,11-,1
3306298,11-,1
335146,16-11-,1
5798658,11-,1
1889664,11-,1
3289077,11-,1
4543948,11-,1
1135561,11-,1
1350945,20-16-11-,1
3314933,11-,1
2958023,11-,1
2816680,16-19-11-,1
1615546,11-,1
1831178,11-,1
2741285,11-,1
10857142,2-11-,1
133748,11-,1
10857147,11-,1
10857148,11-,1
923077,11-,1
10857149,11-,1
3043202,11-,1
10857151,13-11-,1
10857152,11-,1
10857154,20-11-,1
4323724,13-11-,1
2780143,3-11-,1
757848,15-11-,1
955504,11-,1
4328975,11-,1
10802540,2-11-,1
3303858,11-,1
463468,8-11-,1
442886,5-16-14-19-11-,1
10711255,14-11-,1
2126075,5-25-2-18-16-4-11-,1
10857163,11-,1
2695086,25-20-18-4-11-,1
1341418,20-11-,1
200357,11-,1
231407,19-11-,1
1353790,11-,1
79437,15-11-,1
591838,25-20-4-19-11-,1
3307963,20-11-,1
3311267,25-19-11-,1
10857169,11-,1
10857170,11-,1
3309311,2-11-,1
10857172,20-4-11-,1
5817714,11-,1
1277011,11-,1
10857175,25-19-11-,1
2472539,27-5-26-11-,1
10857176,11-,1
3362795,25-11-,1
9529896,11-,1
1604601,5-14-11-,1
186213,11-,1
162770,3-11-,1
3370141,11-,1
3292352,19-11-,1
10857182,8-11-,1
3814928,11-,1
2689562,11-,1
3364650,11-,1
5026165,16-11-,1
184964,19-11-,1
1175277,11-,1
4729634,25-11-,1
10803749,20-11-,1
4738265,25-11-,1
2268291,13-3-8-11-,1
10814656,11-,1
10857193,11-,1
74304,11-,1
245760,11-,1
253626,11-,1
3319145,11-,1
2689941,6-14-11-,1
5981477,19-11-,1
1336402,11-,1
10857198,18-11-,1
651488,25-11-,1
2677271,19-11-,1
2991371,11-,1
10857206,11-,1
1375891,11-,1
10857212,4-11-,1
1873461,16-4-11-,1
1222394,11-,1
10857214,27-20-2-11-,1
2461362,11-,1
937310,11-,1
834363,11-,1
165520,11-11-,1
6708473,11-,1
1289143,2-11-,1
1462842,19-11-,1
10857220,11-,1
831337,16-9-19-11-,1
1190436,5-15-23-16-4-11-,1
1191030,11-,1
1418936,11-,1
3189180,16-11-,1
1276731,11-,1
1641138,11-,1
1225776,4-11-,1
1889956,1-8-11-,1
4405423,11-,1
85569,19-11-,1
1496462,12-19-11-,1
3373057,25-11-,1
10857229,26-11-,1
10857231,11-,1
1722484,23-14-11-,1
1361991,11-,1
2109958,19-11-,1
786842,16-4-11-,1
10803544,11-,1
4955252,11-,1
3287019,25-4-19-11-,1
3286634,8-11-,1
9104343,4-11-,1
10857241,11-,1
3312793,20-11-,1
10784835,11-,1
5069266,11-,1
220679,1-3-14-11-,1
584520,11-,1
548818,19-11-,1
3336997,11-,1
2601094,4-19-11-,1
3305461,20-2-11-,1
10857247,11-,1
2396403,11-,1
10857249,11-,1
2774836,11-,1
6781097,11-,1
971198,11-,1
1898542,11-,1
10857259,26-11-,1
10803626,11-,1
4173857,25-2-11-,1
3343443,11-,1
10857260,11-,1
857378,16-4-11-,1
10857263,11-,1
1170589,16-19-11-,1
1067994,2-4-11-,1
1018615,11-,1
3080848,8-11-,1
4698719,14-11-,1
10857275,11-,1
10857276,11-,1
10857280,14-11-,1
4971949,11-,1
327750,14-11-,1
10857291,11-,1
10857293,11-,1
10799711,19-11-,1
3290471,25-11-,1
10857296,11-,1
10807412,11-,1
554591,11-,1
10809090,25-20-4-11-,1
3989665,2-11-,1
10857299,11-,1
